hour,day_of_week,month,is_weekend,is_rush_hour,weather,temperature,precipitation,road_construction,accident,traffic_volume,speed,congestion_level,travel_time
1,5,1,1,0,Clear,11.0,0.0,0,0,262,80.0,0,7.5
2,5,1,1,0,Snow,18.9,1.03,0,0,182,41.3,1,14.5
3,5,1,1,0,Cloudy,28.8,0.0,0,0,233,44.2,1,13.6
4,5,1,1,0,Snow,34.8,0.66,0,0,173,40.0,1,15.0
5,5,1,1,0,Snow,13.1,1.2,0,0,127,30.3,2,19.8
6,5,1,1,0,Rain,19.7,0.14,0,0,342,53.4,0,11.2
7,5,1,1,1,Snow,30.6,0.36,0,0,511,10.6,3,56.6
8,5,1,1,1,Clear,16.4,0.0,0,0,869,10.0,3,60.0
9,5,1,1,1,Rain,31.6,0.74,0,0,473,22.3,2,26.9
10,5,1,1,0,Fog,-1.0,0.0,0,0,318,45.4,1,13.2
11,5,1,1,0,Clear,32.3,0.0,0,0,250,46.1,1,13.0
12,5,1,1,0,Fog,11.6,0.0,0,0,353,48.5,1,12.4
13,5,1,1,0,Rain,32.2,0.32,0,0,212,58.3,0,10.3
14,5,1,1,0,Clear,30.3,0.0,0,0,272,57.4,0,10.5
15,5,1,1,0,Cloudy,18.0,0.0,0,0,323,59.6,0,10.1
16,5,1,1,0,Rain,27.3,0.02,0,0,165,44.7,1,13.4
17,5,1,1,1,Snow,9.7,1.36,0,0,689,13.0,3,46.1
18,5,1,1,1,Rain,29.2,0.3,0,1,507,10.0,3,60.0
19,5,1,1,1,Cloudy,49.4,0.0,0,0,786,38.0,1,15.8
20,5,1,1,0,Cloudy,10.6,0.0,0,0,312,62.8,0,9.6
21,5,1,1,0,Clear,13.5,0.0,0,0,390,58.4,0,10.3
22,5,1,1,0,Clear,25.5,0.0,0,0,293,59.7,0,10.1
23,5,1,1,0,Clear,40.0,0.0,0,0,363,63.1,0,9.5
0,6,1,1,0,Rain,15.5,1.34,1,0,167,56.1,0,10.7
1,6,1,1,0,Snow,31.9,0.12,0,0,233,64.3,0,9.3
2,6,1,1,0,Snow,12.3,0.54,1,0,309,39.4,1,15.2
3,6,1,1,0,Fog,23.3,0.0,0,0,277,44.2,1,13.6
4,6,1,1,0,Fog,36.1,0.0,1,0,350,41.6,1,14.4
5,6,1,1,0,Clear,29.6,0.0,0,0,428,47.7,1,12.6
6,6,1,1,0,Fog,26.0,0.0,0,0,323,40.0,1,15.0
7,6,1,1,1,Fog,33.8,0.0,0,0,852,10.0,3,60.0
8,6,1,1,1,Snow,18.3,0.2,0,0,567,14.2,3,42.2
9,6,1,1,1,Clear,3.6,0.0,0,0,730,52.5,0,11.4
10,6,1,1,0,Rain,4.5,0.23,0,0,232,66.4,0,9.0
11,6,1,1,0,Cloudy,30.1,0.0,0,0,352,82.5,0,7.3
12,6,1,1,0,Clear,29.8,0.0,0,0,253,35.0,1,17.1
13,6,1,1,0,Rain,42.9,0.01,0,0,100,32.7,2,18.4
14,6,1,1,0,Clear,34.5,0.0,0,0,144,83.3,0,7.2
15,6,1,1,0,Fog,27.3,0.0,0,0,426,56.8,0,10.6
16,6,1,1,0,Snow,17.5,1.31,0,0,166,38.5,1,15.6
17,6,1,1,1,Cloudy,17.2,0.0,0,0,694,46.0,1,13.0
18,6,1,1,1,Clear,10.1,0.0,0,0,700,48.8,1,12.3
19,6,1,1,1,Fog,33.9,0.0,0,0,699,10.0,3,60.0
20,6,1,1,0,Rain,10.1,0.27,0,0,260,46.7,1,12.9
21,6,1,1,0,Clear,18.4,0.0,0,0,271,65.5,0,9.2
22,6,1,1,0,Fog,38.5,0.0,0,0,337,47.6,1,12.6
23,6,1,1,0,Rain,10.6,0.15,0,0,164,55.5,0,10.8
